collaborator,role,frequency,total,node_key,career_total,artist_cluster,found_as_producer,found_as_artist,cluster,name,is_dual_role,angle,distance,color,base_angle,base_distance,cluster_size,cluster_idx,global_count,global_idx,cluster_dist,cluster_angle_rad,cluster_cx,cluster_cy,cluster_local_angle,cluster_local_radius,cluster_x,cluster_y,global_angle,global_radius,dist_x,dist_y,x,y,node_size,img_radius,image_url,is_searching,search_match,label_opacity,label_visibility
"Ace G","producer","low","1","Ace G|producer","1","","Ace G","","Producer","Ace G","false","120","328","#7a6a8a","120","328","11","11","247","236","328","2.0943951023931953","436.0000000000001","784.0563324412959","24","71.3074329926411","466.247116142568","719.4818640729229","564","450","637.8087805921361","51.59115072276313","637.8087805921361","51.59115072276313","6","3.389830508474576","images/Ace%20G.webp","false","false","0.4","0"
"Berg","producer","low","1","Berg|producer","1","","Berg","","Producer","Berg","false","120","328","#7a6a8a","120","328","21","21","247","237","328","2.0943951023931953","436.0000000000001","784.0563324412959","48","91.6515138991168","377.32980217369783","713.6446296709286","566.4","450","875.0037103191733","856.1923066416346","875.0037103191733","856.1923066416346","6","3.389830508474576","images/Berg.webp","false","false","0.4","0"
"Tyla","artist","low","1","Tyla|artist","1","International","","Tyla","International","Tyla","false","236","296","#9c5d7a","236","296","3","3","247","238","296","4.118977034706617","434.47890057265886","254.60487852370775","4.8","58.023702053557386","439.55591551773847","196.80372006431838","568.8","450","156.61920392810538","423.1009123938845","156.61920392810538","423.1009123938845","6","3.389830508474576","images/Tyla.webp","false","false","0.4","0"
"Vybz Kartel","artist","low","1","Vybz Kartel|artist","1","Dancehall","","Vybz Kartel","Dancehall","Vybz Kartel","false","192","258","#8a9c5d","192","258","2","2","247","239","258","3.3510321638291125","347.63791901067816","446.35878376901815","2.4","49.49747468305833","311.1387922442291","479.7925054476868","571.1999999999999","450","978.8887149109925","257.21750122157346","978.8887149109925","257.21750122157346","6","3.389830508474576","images/Vybz%20Kartel.webp","false","false","0.4","0"
"GloRilla","artist","low","1","GloRilla|artist","1","Southern Hip-Hop","","GloRilla","Southern Hip-Hop","GloRilla","false","144","263","#9c7a5d","144","263","2","2","247","240","263","2.5132741228718345","387.22853047938884","654.5875213529205","2.4","49.49747468305833","350.72940371293976","688.0212430315892","573.6","450","484.6004815421279","934.9516652913186","484.6004815421279","934.9516652913186","6","3.389830508474576","images/GloRilla.webp","false","false","0.4","0"
"AJ Williams","producer","low","1","AJ Williams|producer","1","","AJ Williams","","Producer","AJ Williams","false","120","328","#7a6a8a","120","328","7","7","247","241","328","2.0943951023931953","436.0000000000001","784.0563324412959","14.399999999999999","72.75816105427624","417.0961669519035","854.3158164707826","576","450","391.30104446361804","101.3212496783616","391.30104446361804","101.3212496783616","6","3.389830508474576","images/AJ%20Williams.webp","false","false","0.4","0"
"ARPXX","producer","low","1","ARPXX|producer","1","","ARPXX","","Producer","ARPXX","false","120","328","#7a6a8a","120","328","9","9","247","242","328","2.0943951023931953","436.0000000000001","784.0563324412959","19.2","73.5","505.0326954822201","809.2899797095582","578.4","450","1023.1861149629653","653.014744722696","1023.1861149629653","653.014744722696","6","3.389830508474576","images/ARPXX.webp","false","false","0.4","0"
"YoungBoy Never Broke Again","artist","low","1","YoungBoy Never Broke Again|artist","1","Southern Hip-Hop","","YoungBoy Never Broke Again","Southern Hip-Hop","YoungBoy Never Broke Again","false","144","263","#9c7a5d","144","263","7","7","247","243","263","2.5132741228718345","387.22853047938884","654.5875213529205","14.399999999999999","72.75816105427624","368.32469743129224","724.8470053824071","580.8","450","184.58939218038353","673.0145280343149","184.58939218038353","673.0145280343149","6","3.389830508474576","images/YoungBoy%20Never%20Broke%20Again.webp","false","false","0.4","0"
"Kodak Black","artist","low","1","Kodak Black|artist","1","Southern Hip-Hop","","Kodak Black","Southern Hip-Hop","Kodak Black","false","144","263","#9c7a5d","144","263","4","4","247","244","263","2.5132741228718345","387.22853047938884","654.5875213529205","7.199999999999999","64","426.16301460945317","705.3822646392663","583.1999999999999","450","789.4562281877302","91.8256039376322","789.4562281877302","91.8256039376322","6","3.389830508474576","images/Kodak%20Black.webp","false","false","0.4","0"
"CAMEone","producer","low","1","CAMEone|producer","1","","CAMEone","","Producer","CAMEone","false","120","328","#7a6a8a","120","328","34","34","247","245","328","2.0943951023931953","436.0000000000001","784.0563324412959","79.2","116.61903789690601","343.88499948025765","712.5383159751785","585.6","450","736.0029437480127","928.9559409681546","736.0029437480127","928.9559409681546","6","3.389830508474576","images/CAMEone.webp","false","false","0.4","0"
"LVUSM","producer","low","1","LVUSM|producer","1","","LVUSM","","Producer","LVUSM","false","120","328","#7a6a8a","120","328","94","94","247","246","328","2.0943951023931953","436.0000000000001","784.0563324412959","223.2","193.9071942966532","244.18187975195193","755.6695618517178","588","450","209.9683397824394","275.55556583436214","209.9683397824394","275.55556583436214","6","3.389830508474576","images/LVUSM.webp","false","false","0.4","0"
"DJ Moon","producer","low","1","DJ Moon|producer","1","","DJ Moon","","Producer","DJ Moon","false","120","328","#7a6a8a","120","328","43","43","247","247","328","2.0943951023931953","436.0000000000001","784.0563324412959","100.8","131.14877048604","562.4310634111863","818.9158534465624","590.4","450","1039.2108464650705","402.0518895157429","1039.2108464650705","402.0518895157429","6","3.389830508474576","images/DJ%20Moon.webp","false","false","0.4","0"
