main,collaborator,role,collaboration_count,year,frequency
Travis Scott,E.Vax,producer,1,2023,low
Travis Scott,Coleman,producer,3,2023,low
Travis Scott,Playboi Carti,artist,1,2023,low
Travis Scott,Playboi Carti,artist,1,2025,low
Travis Scott,Beyonce,artist,1,2023,low
Travis Scott,Beyonce,producer,1,2023,low
Travis Scott,206DEREK,producer,1,2023,low
Travis Scott,Rob49,artist,1,2023,low
Travis Scott,Hoops,producer,1,2023,low
Travis Scott,Cadenza,producer,1,2023,low
Travis Scott,Dave Chappelle,artist,1,2023,low
Travis Scott,Nik Dean,producer,1,2023,low
Travis Scott,Nami,producer,1,2023,low
Travis Scott,Slim Pharaoh,producer,1,2023,low
Travis Scott,Travis Sayles,producer,1,2023,low
Travis Scott,Westside Gunn,artist,1,2023,low
Travis Scott,The Alchemist,producer,1,2023,low
Travis Scott,Dom Maker,producer,1,2023,low
Travis Scott,Elliot Baker,producer,1,2023,low
Travis Scott,Bad Bunny,artist,1,2023,low
Travis Scott,DVLP,producer,1,2023,low
Travis Scott,Hudson Mohawke,producer,1,2023,low
Travis Scott,Nabeyin,producer,1,2023,low
Travis Scott,Bun B,artist,2,2025,low
Travis Scott,Waka Flocka Flame,artist,1,2025,low
Travis Scott,BBYKOBE,producer,3,2025,low
Travis Scott,Kesh,producer,1,2025,low
Travis Scott,Mcevoy,producer,1,2025,low
Travis Scott,Johnny Juliano,producer,1,2025,low
Travis Scott,Sean Momberger,producer,1,2025,low
Travis Scott,Dilip,producer,3,2025,low
Travis Scott,Otxhello,producer,1,2025,low
Travis Scott,SoFaygo,artist,1,2025,low
Travis Scott,Blake$ale,producer,1,2025,low
Travis Scott,prodluke,producer,1,2025,low
Travis Scott,AM,producer,1,2025,low
Travis Scott,F1LTHY,producer,1,2025,low
Travis Scott,Glasear,producer,1,2025,low
Travis Scott,SahBabii,artist,1,2025,low
Travis Scott,Ace G,producer,1,2025,low
Travis Scott,Berg,producer,1,2025,low
Travis Scott,Tyla,artist,1,2025,low
Travis Scott,Vybz Kartel,artist,1,2025,low
Travis Scott,GloRilla,artist,1,2025,low
Travis Scott,AJ Williams,producer,1,2025,low
Travis Scott,ARPXX,producer,1,2025,low
Travis Scott,YoungBoy Never Broke Again,artist,1,2025,low
Travis Scott,Kodak Black,artist,1,2025,low
Travis Scott,CAMEone,producer,1,2025,low
Travis Scott,LVUSM,producer,1,2025,low
Travis Scott,DJ Moon,producer,1,2025,low
